	Wavelength (nm)		Flux (erg/s/cm2/nm)	
           100.0000000000             0.0163164324
           100.0100021362             0.0161659453
           100.0199966431             0.0160401396
           100.0299987793             0.0159019401
           100.0400009155             0.0157637420
           100.0500030518             0.0156136768
           100.0599975586             0.0154874491
           100.0699996948             0.0153492496
           100.0800018311             0.0151995016
           100.0899963379             0.0150729567
           100.0999984741             0.0149347587
           100.1100006104             0.0147965606
           100.1200027466             0.0146472317
           100.1299972534             0.0145202663
           100.1399993896             0.0143820682
           100.1500015259             0.0142438686
           100.1600036621             0.0140949633
           100.1699981689             0.0139675773
           100.1800003052             0.0138293763
           100.1900024414             0.0136807867
           100.1999969482             0.0135530849
           100.2099990845             0.0134148853
           100.2200012207             0.0132766872
           100.2300033569             0.0131285182
           100.2399978638             0.0130003929
           100.2500000000             0.0128621949
           100.2600021362             0.0127143430
           100.2699966431             0.0125859020
           100.2799987793             0.0124477039
           100.2900009155             0.0123095044
           100.3000030518             0.0121620738
           100.3099975586             0.0120332115
           100.3199996948             0.0118950127
           100.3300018311             0.0117478987
           100.3399963379             0.0116187199
           100.3499984741             0.0114805211
           100.3600006104             0.0113423215
           100.3700027466             0.0111956288
           100.3799972534             0.0110660294
           100.3899993896             0.0109278299
           100.4000015259             0.0107896311
           100.4100036621             0.0106433603
           100.4199981689             0.0105133382
           100.4300003052             0.0103751394
           100.4400024414             0.0102291844
           100.4499969482             0.0100988465
           100.4599990845             0.0099606477
           100.4700012207             0.0098224482
           100.4800033569             0.0096769159
           100.4899978638             0.0095461561
           100.5000000000             0.0094270916
           100.5100021362             0.0094154690
           100.5199966431             0.0094372968
           100.5299987793             0.0094519433
           100.5400009155             0.0094665891
           100.5500030518             0.0094739982
           100.5599975586             0.0094958705
           100.5699996948             0.0095105170
           100.5800018311             0.0095178926
           100.5899963379             0.0095397976
           100.5999984741             0.0095544441
           100.6100006104             0.0095690906
           100.6200027466             0.0095764204
           100.6299972534             0.0095983720
           100.6399993896             0.0096130178
           100.6500015259             0.0096276643
           100.6600036621             0.0096349504
           100.6699981689             0.0096569456
           100.6800003052             0.0096715921
           100.6900024414             0.0096788441
           100.6999969482             0.0097008735
           100.7099990845             0.0097155200
           100.7200012207             0.0097301665
           100.7300033569             0.0097373741
           100.7399978638             0.0097594479
           100.7500000000             0.0097740929
           100.7600021362             0.0097812670
           100.7699966431             0.0098033743
           100.7799987793             0.0098180208
           100.7900009155             0.0098326673
           100.8000030518             0.0098397963
           100.8099975586             0.0098619486
           100.8199996948             0.0098765951
           100.8300018311             0.0098836907
           100.8399963379             0.0099058765
           100.8499984741             0.0099205223
           100.8600006104             0.0099351688
           100.8700027466             0.0099422199
           100.8799972534             0.0099644501
           100.8899993896             0.0099790966
           100.9000015259             0.0099937432
           100.9100036621             0.0100007499
           100.9199981689             0.0100230238
           100.9300003052             0.0100376696
           100.9400024414             0.0100446428
           100.9499969482             0.0100669509
           100.9599990845             0.0100815974
           100.9700012207             0.0100962439
           100.9800033569             0.0101031721
           100.9899978638             0.0101255253
           101.0000000000             0.0101401718
           101.0100021362             0.0101470665
           101.0199966431             0.0101694532
           101.0299987793             0.0101840997
           101.0400009155             0.0101987454
           101.0500030518             0.0102055958
           101.0599975586             0.0102280275
           101.0699996948             0.0102426733
           101.0800018311             0.0102494902
           101.0899963379             0.0102719539
           101.0999984741             0.0102866004
           101.1100006104             0.0103012469
           101.1200027466             0.0103080187
           101.1299972534             0.0103305283
           101.1399993896             0.0103451741
           101.1500015259             0.0103598206
           101.1600036621             0.0103665479
           101.1699981689             0.0103891020
           101.1800003052             0.0104037485
           101.1900024414             0.0104104423
           101.1999969482             0.0104330298
           101.2099990845             0.0104476763
           101.2200012207             0.0104623228
           101.2300033569             0.0104689716
           101.2399978638             0.0104916042
           101.2500000000             0.0105062492
