Gary Hansen's new data on complex index of refraction
for CO2 ice. Supercedes Warren 1986

lambda-micron        nr               ni
5.2000000e-002  5.0470000e-001  1.1630000e-001
5.3000000e-002  5.1003100e-001  1.8390000e-001
5.4100000e-002  5.1587100e-001  2.6050000e-001
5.5100000e-002  5.3061000e-001  3.2830000e-001
5.6400000e-002  5.7017100e-001  4.2110000e-001
5.7400000e-002  6.2837500e-001  4.8130000e-001
5.7900000e-002  6.6568500e-001  4.9870000e-001
5.8500000e-002  7.1023900e-001  5.1320000e-001
5.9000000e-002  7.4561200e-001  5.1320000e-001
5.9500000e-002  7.7653500e-001  5.1220000e-001
6.0200000e-002  8.1901100e-001  5.0540000e-001
6.2000000e-002  8.8377900e-001  4.4840000e-001
6.2600000e-002  8.9270400e-001  4.2790000e-001
6.3300000e-002  8.9547800e-001  4.0860000e-001
6.5300000e-002  8.9255200e-001  3.7280000e-001
6.7000000e-002  8.7576600e-001  3.5250000e-001
6.8500000e-002  8.6343600e-001  3.5540000e-001
7.0400000e-002  8.3383500e-001  3.3410000e-001
7.2500000e-002  7.9268200e-001  3.6600000e-001
7.4700000e-002  7.5124000e-001  3.8830000e-001
7.7500000e-002  7.0668000e-001  4.9000000e-001
7.9500000e-002  7.0842200e-001  5.7820000e-001
8.0500000e-002  7.3093500e-001  6.3330000e-001
8.1600000e-002  7.6803500e-001  6.6520000e-001
8.2700000e-002  8.0868700e-001  6.9730000e-001
8.3800000e-002  8.5066500e-001  7.0600000e-001
8.4900000e-002  9.0358500e-001  7.2150000e-001
8.6100000e-002  9.4536600e-001  6.6810000e-001
8.7300000e-002  9.3161100e-001  6.1690000e-001
8.7500000e-002  9.2259300e-001  6.1010000e-001
8.8000000e-002  8.9819200e-001  6.0230000e-001
8.8600000e-002  8.6008200e-001  6.0230000e-001
8.9800000e-002  8.1704700e-001  6.7490000e-001
9.1200000e-002  8.2088700e-001  7.5150000e-001
9.2500000e-002  8.5873500e-001  8.2120000e-001
9.3900000e-002  9.1027000e-001  8.4930000e-001
9.4500000e-002  9.3029700e-001  8.6570000e-001
9.5000000e-002  9.5219500e-001  8.7830000e-001
9.5400000e-002  9.7631900e-001  8.8700000e-001
9.6000000e-002  1.0122510e+000  8.7930000e-001
9.6500000e-002  1.0352130e+000  8.6280000e-001
9.6900000e-002  1.0435550e+000  8.4250000e-001
9.7500000e-002  1.0425800e+000  8.2220000e-001
9.8000000e-002  1.0329620e+000  8.0850000e-001
9.8400000e-002  1.0238130e+000  8.0940000e-001
9.9000000e-002  1.0148420e+000  8.0940000e-001
9.9500000e-002  1.0063320e+000  8.1140000e-001
1.0000000e-001  9.9368100e-001  8.1330000e-001
1.0160000e-001  9.6337700e-001  8.5800000e-001
