	1405 s
A	erg/s/cm2/A
1003.6	4.66099E-14
1007	2.23173E-13
1008.2	3.56591E-13
1011.8	3.89958E-13
1013	8.77577E-14
1015.4	2.34447E-13
1016.6	4.11829E-13
1017.6	1.26764E-13
1018.8	1.08471E-13
1023.6	6.74452E-14
1024.8	1.47411E-14
1026	1.15761E-13
1027.2	1.03443E-13
1029.4	3.77355E-14
1030.6	1.64386E-13
1035.4	1.85941E-13
1036.6	9.66013E-14
1044.8	1.16175E-13
1046	3.75544E-14
1048.4	7.37876E-14
1050.8	3.1966E-13
1052	3.05302E-13
1053	7.10497E-14
1056.6	3.7964E-13
1057.8	2.62706E-13
1063.8	2.87169E-15
1069.6	1.16841E-13
1072	2.26575E-14
1076.6	8.32194E-15
1079	4.28648E-14
1080.2	7.14304E-14
1083.8	7.45262E-14
1086.2	3.5937E-14
1088.4	8.17351E-14
1089.6	3.23753E-13
1094.4	4.81297E-14
1095.6	1.58119E-13
1098	3.17349E-14
1099.2	7.29388E-14
1103.8	1.65621E-13
1105	2.82256E-14
1106.2	2.27746E-14
1108.6	6.49215E-14
1112	8.25671E-14
1113.2	1.01257E-13
1114.4	5.8762E-15
1115.6	1.81822E-13
1116.8	2.27186E-13
1118	1.80438E-13
1119.2	1.92035E-13
1120.4	2.17298E-13
1121.6	5.69589E-14
1122.6	7.78855E-14
1125	5.21272E-14
1129.8	3.15185E-14
1132.2	2.71124E-14
1133.4	1.34289E-14
1134.4	2.61398E-13
1135.6	9.49924E-14
1136.8	2.07422E-13
1138	9.09847E-14
1139.2	1.99116E-13
1140.4	1.98611E-13
1141.6	4.63893E-13
1142.8	2.72203E-13
1144	4.12906E-13
1145.2	4.49767E-13
1146.2	6.97516E-13
1147.4	5.76986E-13
1148.6	8.67288E-13
1149.8	8.69733E-13
1151	1.47873E-13
1152.2	1.59685E-13
1153.4	1.63055E-13
1154.6	1.54372E-13
1155.8	1.55672E-13
1157	2.0542E-13
1158	2.3381E-13
1159.2	2.11802E-13
1160.4	3.01959E-13
