Left Bin Edge (nm)    Right Bin Edge (nm)    Bin Center (nm)        Stellar Flux (erg/s/nm/cm2) at 0.4407969989711753 (AU)
1.3200000e+02        1.3600000e+02        1.3400000e+02        2.0526867e+00
1.3600000e+02        1.4000000e+02        1.3800000e+02        1.5811523e+00
1.4000000e+02        1.4400000e+02        1.4200000e+02        1.0468969e+00
1.4400000e+02        1.4800000e+02        1.4600000e+02        7.2857932e-01
1.4800000e+02        1.5200000e+02        1.5000000e+02        1.1082710e+00
1.5200000e+02        1.5600000e+02        1.5400000e+02        4.2709600e+00
1.5600000e+02        1.6000000e+02        1.5800000e+02        2.5426217e+00
1.6000000e+02        1.6400000e+02        1.6200000e+02        2.1070240e+00
1.6400000e+02        1.6800000e+02        1.6600000e+02        4.4575468e+00
1.6800000e+02        1.7200000e+02        1.7000000e+02        2.6320019e+00
1.7200000e+02        1.7600000e+02        1.7400000e+02        2.3929975e+00
1.7600000e+02        1.8000000e+02        1.7800000e+02        2.0762565e+00
1.8000000e+02        1.8400000e+02        1.8200000e+02        1.7595154e+00
1.8400000e+02        1.8800000e+02        1.8600000e+02        1.4427744e+00
1.8800000e+02        1.9200000e+02        1.9000000e+02        1.1260334e+00
1.9200000e+02        1.9600000e+02        1.9400000e+02        8.0929232e-01
1.9600000e+02        2.0000000e+02        1.9800000e+02        4.9255129e-01
2.0000000e+02        2.0400000e+02        2.0200000e+02        5.2197216e-01
2.0400000e+02        2.0800000e+02        2.0600000e+02        8.7135690e-01
2.0800000e+02        2.1200000e+02        2.1000000e+02        1.0354494e+00
2.1200000e+02        2.1600000e+02        2.1400000e+02        1.1178592e+00
2.1600000e+02        2.2000000e+02        2.1800000e+02        1.5354059e+00
2.2000000e+02        2.2400000e+02        2.2200000e+02        2.0438395e+00
2.2400000e+02        2.2800000e+02        2.2600000e+02        2.7274966e+00
2.2800000e+02        2.3200000e+02        2.3000000e+02        3.1874004e+00
2.3200000e+02        2.3600000e+02        2.3400000e+02        5.6247011e+00
2.3600000e+02        2.4000000e+02        2.3800000e+02        8.0376456e+00
2.4000000e+02        2.4400000e+02        2.4200000e+02        6.4200943e+00
2.4400000e+02        2.4800000e+02        2.4600000e+02        5.1804539e+00
2.4800000e+02        2.5200000e+02        2.5000000e+02        5.8021286e+00
2.5200000e+02        2.5600000e+02        2.5400000e+02        5.9071682e+00
2.5600000e+02        2.6000000e+02        2.5800000e+02        6.9525957e+00
2.6000000e+02        2.6400000e+02        2.6200000e+02        1.1807825e+01
2.6400000e+02        2.6800000e+02        2.6600000e+02        7.1233136e+00
2.6800000e+02        2.7200000e+02        2.7000000e+02        6.3192006e+00
2.7200000e+02        2.7600000e+02        2.7400000e+02        8.8329738e+00
2.7600000e+02        2.8000000e+02        2.7800000e+02        1.3928295e+01
2.8000000e+02        2.8400000e+02        2.8200000e+02        1.5914716e+01
2.8400000e+02        2.8800000e+02        2.8600000e+02        8.2164941e+00
2.8800000e+02        2.9200000e+02        2.9000000e+02        7.5176541e+00
2.9200000e+02        2.9600000e+02        2.9400000e+02        8.2068384e+00
2.9600000e+02        3.0000000e+02        2.9800000e+02        1.6802410e+01
3.0000000e+02        3.0400000e+02        3.0200000e+02        2.7245404e+01
3.0400000e+02        3.0800000e+02        3.0600000e+02        3.7688398e+01
3.0800000e+02        3.1200000e+02        3.1000000e+02        4.8131391e+01
3.1200000e+02        3.1600000e+02        3.1400000e+02        5.8574385e+01
3.1600000e+02        3.2000000e+02        3.1800000e+02        6.9017379e+01
3.2000000e+02        3.2400000e+02        3.2200000e+02        7.9460373e+01
3.2400000e+02        3.2800000e+02        3.2600000e+02        8.9903367e+01
3.2800000e+02        3.3200000e+02        3.3000000e+02        1.0034636e+02
3.3200000e+02        3.3600000e+02        3.3400000e+02        1.1078935e+02
3.3600000e+02        3.4000000e+02        3.3800000e+02        1.1966120e+02
3.4000000e+02        3.4400000e+02        3.4200000e+02        1.2414979e+02
3.4400000e+02        3.4800000e+02        3.4600000e+02        1.2041038e+02
3.4800000e+02        3.5200000e+02        3.5000000e+02        6.8501805e+01
3.5200000e+02        3.5600000e+02        3.5400000e+02        1.3852913e+02
3.5600000e+02        3.6000000e+02        3.5800000e+02        1.0669556e+02
3.6000000e+02        3.6400000e+02        3.6200000e+02        8.4932783e+01
3.6400000e+02        3.6800000e+02        3.6600000e+02        8.9336291e+01
3.6800000e+02        3.7200000e+02        3.7000000e+02        1.0925937e+02
3.7200000e+02        3.7600000e+02        3.7400000e+02        1.0211189e+02
3.7600000e+02        3.8000000e+02        3.7800000e+02        7.0571238e+01
3.8000000e+02        3.8400000e+02        3.8200000e+02        8.5703536e+01
3.8400000e+02        3.8800000e+02        3.8600000e+02        4.2439920e+01
3.8800000e+02        3.9200000e+02        3.9000000e+02        8.5700806e+01
3.9200000e+02        3.9600000e+02        3.9400000e+02        1.0526451e+02
3.9600000e+02        4.0000000e+02        3.9800000e+02        9.9104875e+01
