# Formed from prebioticearth_atmosphere_models.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
0.0000000e+00	2.8800000e+02	2.5573802e+19	1.0168898e+00
8.2321335e+03	2.8719284e+02	2.5373071e+19	1.0060806e+00
1.6441195e+04	2.8638795e+02	2.5174548e+19	9.9541123e-01
2.4627250e+04	2.8558531e+02	2.4978186e+19	9.8487898e-01
3.2790363e+04	2.8478492e+02	2.4783939e+19	9.7448113e-01
4.0930597e+04	2.8398677e+02	2.4591764e+19	9.6421505e-01
4.9048017e+04	2.8319086e+02	2.4401618e+19	9.5407819e-01
5.7142688e+04	2.8239718e+02	2.4213459e+19	9.4406808e-01
6.5214671e+04	2.8160573e+02	2.4027249e+19	9.3418233e-01
7.3264032e+04	2.8081649e+02	2.3842948e+19	9.2441860e-01
8.1290834e+04	2.8002947e+02	2.3660519e+19	9.1477462e-01
8.9295139e+04	2.7924465e+02	2.3479925e+19	9.0524820e-01
9.7277011e+04	2.7846203e+02	2.3301131e+19	8.9583719e-01
1.0523651e+05	2.7768160e+02	2.3124103e+19	8.8653954e-01
1.1317371e+05	2.7690336e+02	2.2948808e+19	8.7735320e-01
1.2108866e+05	2.7612730e+02	2.2775213e+19	8.6827624e-01
1.2898142e+05	2.7535342e+02	2.2603288e+19	8.5930673e-01
1.3685207e+05	2.7458171e+02	2.2433003e+19	8.5044282e-01
1.4470066e+05	2.7381216e+02	2.2264327e+19	8.4168272e-01
1.5252725e+05	2.7304476e+02	2.2097233e+19	8.3302468e-01
1.6033191e+05	2.7227952e+02	2.1931694e+19	8.2446697e-01
1.6811469e+05	2.7151642e+02	2.1767682e+19	8.1600796e-01
1.7587566e+05	2.7075546e+02	2.1605171e+19	8.0764602e-01
1.8361488e+05	2.6999663e+02	2.1444138e+19	7.9937957e-01
1.9133241e+05	2.6923993e+02	2.1284556e+19	7.9120710e-01
1.9902831e+05	2.6848535e+02	2.1126403e+19	7.8312712e-01
2.0670264e+05	2.6773289e+02	2.0969655e+19	7.7513816e-01
2.1435546e+05	2.6698253e+02	2.0814291e+19	7.6723883e-01
2.2198683e+05	2.6623428e+02	2.0660288e+19	7.5942774e-01
